Number of contigs:429.000000
Maximum contig lenth:7268.000000
Mean contig:937.899767
Total length of the genome assembly:402359.000000
Mean depth coverage:122.549057
N50 value of assembly:2031.000000
# Contig length	Number of contigs in this category
0	29
100	98
200	45
300	30
400	26
500	18
600	17
700	15
800	12
900	7
1000	7
1100	10
1200	15
1300	5
1400	6
1500	8
1600	3
1700	6
1800	7
1900	3
2000	4
2100	8
2200	2
2300	5
2400	3
2500	4
2600	2
2700	2
2800	4
2900	1
3000	0
3100	2
3200	4
3300	1
3400	1
3500	0
3600	2
3700	1
3800	1
3900	1
4000	0
4100	1
4200	2
4300	1
4400	0
4500	2
4600	0
4700	0
4800	1
4900	0
5000	0
5100	1
5200	1
5300	0
5400	1
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	1
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	1
7200	1
